Orario,Log
2025-12-10 21:55:23,tuttoCompreso.py/ 🚀 Avvio pulisciCartelle()...
2025-12-10 21:55:23,PulisciCartelle.py/ 🧹 Pulizia della cartella: /Users/marcofilannino/Desktop/Bot-Python---Automazione-prodotti-alibaba/PagineHtml
2025-12-10 21:55:23,PulisciCartelle.py/ 🧹 Pulizia della cartella: /Users/marcofilannino/Desktop/Bot-Python---Automazione-prodotti-alibaba/All
2025-12-10 21:55:23,PulisciCartelle.py/ 🧹 Pulizia della cartella: /Users/marcofilannino/Desktop/Bot-Python---Automazione-prodotti-alibaba/filePuliti
2025-12-10 21:55:23,"tuttoCompreso.py/ ✅ pulisciCartelle completato!
"
2025-12-10 21:55:23,tuttoCompreso.py/ 🚀 Avvio primoLancio()...
2025-12-10 21:55:23,navigazione.py/ 🚀 Leggo nuovaLetturaExcel.
2025-12-10 21:55:23,nuovaLetturaExcel.py/ Percorso del file macro.xlsx: /Users/marcofilannino/Desktop/Bot-Python---Automazione-prodotti-alibaba/file/macro.xlsx
2025-12-10 21:55:23,navigazione.py/ ℹ️ Lunghezza della lista 'Ricerca': 2
2025-12-10 21:55:32,letturaExcel.py/ Percorso del file macro.xlsx: /Users/marcofilannino/Desktop/Bot-Python---Automazione-prodotti-alibaba/file/macro.xlsx
2025-12-10 21:55:32,navigazione.py/ 🔎 Avvio ricerca 1 : Rapporto 1/2...
2025-12-10 21:55:35,navigazione.py/ 🔎 Clicco il tasto di ricerca
2025-12-10 21:55:43,navigazione.py/ Lancio Lettura Excel per ricerca
2025-12-10 21:55:43,letturaExcel.py/ Percorso del file macro.xlsx: /Users/marcofilannino/Desktop/Bot-Python---Automazione-prodotti-alibaba/file/macro.xlsx
2025-12-10 21:55:43,navigazione.py/ 🔎 Ricerca da effettuare: -- test
2025-12-10 21:55:44,"navigazione.py/ ⚠️ Errore durante la ricerca 1: Message: no such window: target window already closed
from unknown error: web view not found
  (Session info: chrome=143.0.7499.41)
Stacktrace:
0   chromedriver                        0x00000001026e2d7c cxxbridge1$str$ptr + 3028012
1   chromedriver                        0x00000001026dac3c cxxbridge1$str$ptr + 2994924
2   chromedriver                        0x00000001021d6b1c _RNvCsgXDX2mvAJAg_7___rustc35___rust_no_alloc_shim_is_unstable_v2 + 74196
3   chromedriver                        0x00000001021b08c4 chromedriver + 149700
4   chromedriver                        0x0000000102245a88 _RNvCsgXDX2mvAJAg_7___rustc35___rust_no_alloc_shim_is_unstable_v2 + 528704
5   chromedriver                        0x000000010225e4dc _RNvCsgXDX2mvAJAg_7___rustc35___rust_no_alloc_shim_is_unstable_v2 + 629652
6   chromedriver                        0x000000010221217c _RNvCsgXDX2mvAJAg_7___rustc35___rust_no_alloc_shim_is_unstable_v2 + 317492
7   chromedriver                        0x00000001026a72cc cxxbridge1$str$ptr + 2783612
8   chromedriver                        0x00000001026aaa30 cxxbridge1$str$ptr + 2797792
9   chromedriver                        0x0000000102687560 cxxbridge1$str$ptr + 2653200
10  chromedriver                        0x00000001026ab2a0 cxxbridge1$str$ptr + 2799952
11  chromedriver                        0x0000000102677f30 cxxbridge1$str$ptr + 2590176
12  chromedriver                        0x00000001026ca1b8 cxxbridge1$str$ptr + 2926696
13  chromedriver                        0x00000001026ca338 cxxbridge1$str$ptr + 2927080
14  chromedriver                        0x00000001026da894 cxxbridge1$str$ptr + 2993988
15  libsystem_pthread.dylib             0x0000000180fbc2e4 _pthread_start + 136
16  libsystem_pthread.dylib             0x0000000180fb70fc thread_start + 8
"
2025-12-10 21:55:44,navigazione.py/ 🔴 Ciclo interrotto: ultima modificaMacro() saltata per sicurezza.
2025-12-10 21:55:44,letturaExcel.py/ Percorso del file macro.xlsx: /Users/marcofilannino/Desktop/Bot-Python---Automazione-prodotti-alibaba/file/macro.xlsx
2025-12-10 21:55:44,letturaExcel.py/ Percorso del file macro.xlsx: /Users/marcofilannino/Desktop/Bot-Python---Automazione-prodotti-alibaba/file/macro.xlsx
2025-12-10 21:55:44,modificaExcel.py/ ✅ La cella A2 è stata modificata correttamente in macro.xlsx
2025-12-10 21:55:44,modificaMacro.py/ ✅ Processo diminuito: 0
2025-12-10 21:55:44,"tuttoCompreso.py/ ✅ primoLancio completato!
"
2025-12-10 21:55:44,tuttoCompreso.py/ 🚀 Avvio prendiTutto()...
2025-12-10 21:55:44,utils.py/ ⚙️ MODALITA' SVILUPPO - base_dir: /Users/marcofilannino/Desktop/Bot-Python---Automazione-prodotti-alibaba
2025-12-10 21:55:44,utils.py/ ⚙️ Creando cartella: /Users/marcofilannino/Desktop/Bot-Python---Automazione-prodotti-alibaba/All
2025-12-10 21:55:44,utils.py/ ✅ Cartella creata/verificata: /Users/marcofilannino/Desktop/Bot-Python---Automazione-prodotti-alibaba/All
2025-12-10 21:55:44,prendiTutto.py/ ✅ File creato: /Users/marcofilannino/Desktop/Bot-Python---Automazione-prodotti-alibaba/All/unione.xlsx
2025-12-10 21:55:44,"tuttoCompreso.py/ ✅ prendiTutto completato!
"
2025-12-10 21:55:44,tuttoCompreso.py/ 🚀 Avvio pulisciStringa()...
2025-12-10 21:55:44,utils.py/ ⚙️ MODALITA' SVILUPPO - base_dir: /Users/marcofilannino/Desktop/Bot-Python---Automazione-prodotti-alibaba
2025-12-10 21:55:44,utils.py/ ⚙️ Creando cartella: /Users/marcofilannino/Desktop/Bot-Python---Automazione-prodotti-alibaba/All
2025-12-10 21:55:44,utils.py/ ✅ Cartella creata/verificata: /Users/marcofilannino/Desktop/Bot-Python---Automazione-prodotti-alibaba/All
2025-12-10 21:55:44,utils.py/ ⚙️ MODALITA' SVILUPPO - base_dir: /Users/marcofilannino/Desktop/Bot-Python---Automazione-prodotti-alibaba
2025-12-10 21:55:44,utils.py/ ⚙️ Creando cartella: /Users/marcofilannino/Desktop/Bot-Python---Automazione-prodotti-alibaba/filePuliti
2025-12-10 21:55:44,utils.py/ ✅ Cartella creata/verificata: /Users/marcofilannino/Desktop/Bot-Python---Automazione-prodotti-alibaba/filePuliti
2025-12-10 21:55:44,pulizia.py/ ⚠️ Colonna 'prezzo' non trovata durante la\ pulizia
2025-12-10 21:55:44,"tuttoCompreso.py/ ✅ pulisciStringa completato!
"
2025-12-10 21:55:44,tuttoCompreso.py/ 🚀 Avvio TopAziende()...
2025-12-10 21:55:44,utils.py/ ⚙️ MODALITA' SVILUPPO - base_dir: /Users/marcofilannino/Desktop/Bot-Python---Automazione-prodotti-alibaba
2025-12-10 21:55:44,utils.py/ ⚙️ Creando cartella: /Users/marcofilannino/Desktop/Bot-Python---Automazione-prodotti-alibaba/filePuliti
2025-12-10 21:55:44,utils.py/ ✅ Cartella creata/verificata: /Users/marcofilannino/Desktop/Bot-Python---Automazione-prodotti-alibaba/filePuliti
